设备类型：XXX
测量单元名称：呼叫会话统计
服务名,实例,可信度,不可信原因,测量开始时间,测量结束时间,周期(分钟),呼叫请求次数,呼叫请求成功次数,呼叫请求失败次数,呼叫成功率,呼叫失败率,统计峰值,最大并发,x业务请求次数,x业务请求成功次数,x业务请求失败次数
IMS-Core,ims-node-01,可信,,2026-08-15 02:45:00,2026-08-15 02:50:00,5,562,560,2,99.64,0.36,205,113,370,364,6
IMS-Core,ims-node-02,可信,,2026-08-15 02:45:00,2026-08-15 02:50:00,5,689,686,3,99.56,0.44,233,131,463,461,2
Access-GW,access-node-01,可信,,2026-08-15 02:45:00,2026-08-15 02:50:00,5,620,617,3,99.52,0.48,225,125,445,440,5
Access-GW,access-node-02,可信,,2026-08-15 02:45:00,2026-08-15 02:50:00,5,614,611,3,99.51,0.49,229,127,462,461,1
SBC,sbc-node-01,可信,,2026-08-15 02:45:00,2026-08-15 02:50:00,5,775,771,4,99.48,0.52,263,150,575,571,4
Media-FW,media-node-01,可信,,2026-08-15 02:45:00,2026-08-15 02:50:00,5,878,874,4,99.54,0.46,286,165,655,648,7
IMS-Core,ims-node-01,可信,,2026-08-15 02:50:00,2026-08-15 02:55:00,5,590,588,2,99.66,0.34,141,116,396,389,7
IMS-Core,ims-node-02,可信,,2026-08-15 02:50:00,2026-08-15 02:55:00,5,717,714,3,99.58,0.42,169,134,489,486,3
Access-GW,access-node-01,可信,,2026-08-15 02:50:00,2026-08-15 02:55:00,5,648,645,3,99.54,0.46,162,128,471,465,6
Access-GW,access-node-02,可信,,2026-08-15 02:50:00,2026-08-15 02:55:00,5,643,640,3,99.53,0.47,166,130,489,487,2
SBC,sbc-node-01,可信,,2026-08-15 02:50:00,2026-08-15 02:55:00,5,804,800,4,99.50,0.50,199,153,602,597,5
Media-FW,media-node-01,可信,,2026-08-15 02:50:00,2026-08-15 02:55:00,5,906,902,4,99.56,0.44,222,168,681,680,1
IMS-Core,ims-node-01,可信,,2026-08-15 02:55:00,2026-08-15 03:00:00,5,627,625,2,99.68,0.32,146,119,357,356,1
IMS-Core,ims-node-02,可信,,2026-08-15 02:55:00,2026-08-15 03:00:00,5,753,750,3,99.60,0.40,173,137,450,446,4
Access-GW,access-node-01,可信,,2026-08-15 02:55:00,2026-08-15 03:00:00,5,685,682,3,99.56,0.44,166,131,432,425,7
Access-GW,access-node-02,不可信,采样窗口部分回补,2026-08-15 02:55:00,2026-08-15 03:00:00,5,681,678,3,99.56,0.44,170,133,451,448,3
SBC,sbc-node-01,可信,,2026-08-15 02:55:00,2026-08-15 03:00:00,5,841,838,3,99.64,0.36,203,156,563,557,6
Media-FW,media-node-01,不可信,采样窗口部分回补,2026-08-15 02:55:00,2026-08-15 03:00:00,5,943,939,4,99.58,0.42,226,171,642,640,2
IMS-Core,ims-node-01,可信,,2026-08-15 03:00:00,2026-08-15 03:05:00,5,669,666,3,99.55,0.45,150,122,391,389,2
IMS-Core,ims-node-02,可信,,2026-08-15 03:00:00,2026-08-15 03:05:00,5,795,792,3,99.62,0.38,177,140,484,479,5
Access-GW,access-node-01,可信,,2026-08-15 03:00:00,2026-08-15 03:05:00,5,728,725,3,99.59,0.41,170,135,466,465,1
Access-GW,access-node-02,可信,,2026-08-15 03:00:00,2026-08-15 03:05:00,5,724,721,3,99.59,0.41,175,137,485,481,4
SBC,sbc-node-01,可信,,2026-08-15 03:00:00,2026-08-15 03:05:00,5,883,879,4,99.55,0.45,208,159,597,590,7
Media-FW,media-node-01,可信,,2026-08-15 03:00:00,2026-08-15 03:05:00,5,985,981,4,99.59,0.41,231,174,676,673,3
IMS-Core,ims-node-01,可信,,2026-08-15 03:05:00,2026-08-15 03:10:00,5,713,710,3,99.58,0.42,155,125,426,423,3
IMS-Core,ims-node-02,可信,,2026-08-15 03:05:00,2026-08-15 03:10:00,5,838,835,3,99.64,0.36,182,143,518,512,6
Access-GW,access-node-01,可信,,2026-08-15 03:05:00,2026-08-15 03:10:00,5,772,768,4,99.48,0.52,175,138,502,500,2
Access-GW,access-node-02,可信,,2026-08-15 03:05:00,2026-08-15 03:10:00,5,769,765,4,99.48,0.52,179,140,521,516,5
SBC,sbc-node-01,可信,,2026-08-15 03:05:00,2026-08-15 03:10:00,5,928,924,4,99.57,0.43,212,162,632,631,1
Media-FW,media-node-01,可信,,2026-08-15 03:05:00,2026-08-15 03:10:00,5,1029,1024,5,99.51,0.49,235,177,711,707,4
IMS-Core,ims-node-01,可信,,2026-08-15 03:10:00,2026-08-15 03:15:00,5,755,751,4,99.47,0.53,159,128,460,456,4
IMS-Core,ims-node-02,可信,,2026-08-15 03:10:00,2026-08-15 03:15:00,5,880,876,4,99.55,0.45,186,147,552,545,7
Access-GW,access-node-01,可信,,2026-08-15 03:10:00,2026-08-15 03:15:00,5,815,811,4,99.51,0.49,179,141,536,533,3
Access-GW,access-node-02,可信,,2026-08-15 03:10:00,2026-08-15 03:15:00,5,811,807,4,99.51,0.49,184,143,555,549,6
SBC,sbc-node-01,可信,,2026-08-15 03:10:00,2026-08-15 03:15:00,5,970,965,5,99.48,0.52,217,165,666,664,2
Media-FW,media-node-01,可信,,2026-08-15 03:10:00,2026-08-15 03:15:00,5,1071,1066,5,99.53,0.47,240,180,745,740,5
IMS-Core,ims-node-01,可信,,2026-08-15 03:15:00,2026-08-15 03:20:00,5,791,787,4,99.49,0.51,163,93,490,485,5
IMS-Core,ims-node-02,可信,,2026-08-15 03:15:00,2026-08-15 03:20:00,5,915,911,4,99.56,0.44,191,111,582,581,1
Access-GW,access-node-01,可信,,2026-08-15 03:15:00,2026-08-15 03:20:00,5,851,846,5,99.41,0.59,184,105,567,563,4
Access-GW,access-node-02,可信,,2026-08-15 03:15:00,2026-08-15 03:20:00,5,848,843,5,99.41,0.59,188,107,586,579,7
SBC,sbc-node-01,可信,,2026-08-15 03:15:00,2026-08-15 03:20:00,5,1006,1000,6,99.40,0.60,221,130,697,694,3
Media-FW,media-node-01,可信,,2026-08-15 03:15:00,2026-08-15 03:20:00,5,1107,1101,6,99.46,0.54,244,145,775,769,6
IMS-Core,ims-node-01,可信,,2026-08-15 03:20:00,2026-08-15 03:25:00,5,818,814,4,99.51,0.49,168,96,516,510,6
IMS-Core,ims-node-02,可信,,2026-08-15 03:20:00,2026-08-15 03:25:00,5,942,937,5,99.47,0.53,195,114,607,605,2
Access-GW,access-node-01,可信,,2026-08-15 03:20:00,2026-08-15 03:25:00,5,879,874,5,99.43,0.57,189,109,593,588,5
Access-GW,access-node-02,可信,,2026-08-15 03:20:00,2026-08-15 03:25:00,5,877,872,5,99.43,0.57,193,111,612,611,1
SBC,sbc-node-01,可信,,2026-08-15 03:20:00,2026-08-15 03:25:00,5,1034,1028,6,99.42,0.58,226,133,723,719,4
Media-FW,media-node-01,可信,,2026-08-15 03:20:00,2026-08-15 03:25:00,5,1135,1129,6,99.47,0.53,249,148,801,794,7
IMS-Core,ims-node-01,可信,,2026-08-15 03:25:00,2026-08-15 03:30:00,5,835,830,5,99.40,0.60,172,99,535,528,7
IMS-Core,ims-node-02,可信,,2026-08-15 03:25:00,2026-08-15 03:30:00,5,959,954,5,99.48,0.52,199,117,627,624,3
Access-GW,access-node-01,可信,,2026-08-15 03:25:00,2026-08-15 03:30:00,5,897,892,5,99.44,0.56,193,112,613,607,6
Access-GW,access-node-02,可信,,2026-08-15 03:25:00,2026-08-15 03:30:00,5,895,889,6,99.33,0.67,198,114,633,631,2
SBC,sbc-node-01,可信,,2026-08-15 03:25:00,2026-08-15 03:30:00,5,1051,1045,6,99.43,0.57,231,136,743,738,5
Media-FW,media-node-01,可信,,2026-08-15 03:25:00,2026-08-15 03:30:00,5,1152,1146,6,99.48,0.52,253,151,821,820,1
IMS-Core,ims-node-01,可信,,2026-08-15 03:30:00,2026-08-15 03:35:00,5,841,836,5,99.41,0.59,177,103,479,478,1
IMS-Core,ims-node-02,可信,,2026-08-15 03:30:00,2026-08-15 03:35:00,5,964,959,5,99.48,0.52,204,120,570,566,4
Access-GW,access-node-01,可信,,2026-08-15 03:30:00,2026-08-15 03:35:00,5,903,898,5,99.45,0.55,198,115,556,549,7
Access-GW,access-node-02,可信,,2026-08-15 03:30:00,2026-08-15 03:35:00,5,902,896,6,99.33,0.67,203,118,577,574,3
SBC,sbc-node-01,可信,,2026-08-15 03:30:00,2026-08-15 03:35:00,5,1057,1051,6,99.43,0.57,235,140,686,680,6
Media-FW,media-node-01,可信,,2026-08-15 03:30:00,2026-08-15 03:35:00,5,1158,1151,7,99.40,0.60,258,155,765,763,2
IMS-Core,ims-node-01,可信,,2026-08-15 03:35:00,2026-08-15 03:40:00,5,836,831,5,99.40,0.60,182,106,486,484,2
IMS-Core,ims-node-02,可信,,2026-08-15 03:35:00,2026-08-15 03:40:00,5,959,954,5,99.48,0.52,209,124,577,572,5
Access-GW,access-node-01,可信,,2026-08-15 03:35:00,2026-08-15 03:40:00,5,899,894,5,99.44,0.56,203,119,564,563,1
Access-GW,access-node-02,可信,,2026-08-15 03:35:00,2026-08-15 03:40:00,5,898,892,6,99.33,0.67,207,121,584,580,4
SBC,sbc-node-01,可信,,2026-08-15 03:35:00,2026-08-15 03:40:00,5,1053,1046,7,99.34,0.66,240,143,694,687,7
Media-FW,media-node-01,可信,,2026-08-15 03:35:00,2026-08-15 03:40:00,5,1153,1146,7,99.39,0.61,263,158,772,769,3
IMS-Core,ims-node-01,可信,,2026-08-15 03:40:00,2026-08-15 03:45:00,5,735,731,4,99.46,0.54,186,109,438,435,3
IMS-Core,ims-node-02,可信,,2026-08-15 03:40:00,2026-08-15 03:45:00,5,857,852,5,99.42,0.58,213,127,529,523,6
Access-GW,access-node-01,可信,,2026-08-15 03:40:00,2026-08-15 03:45:00,5,798,793,5,99.37,0.63,207,122,516,514,2
Access-GW,access-node-02,可信,,2026-08-15 03:40:00,2026-08-15 03:45:00,5,799,794,5,99.37,0.63,212,124,538,533,5
SBC,sbc-node-01,可信,,2026-08-15 03:40:00,2026-08-15 03:45:00,5,953,947,6,99.37,0.63,245,146,647,646,1
Media-FW,media-node-01,可信,,2026-08-15 03:40:00,2026-08-15 03:45:00,5,1052,1046,6,99.43,0.57,267,161,724,720,4
IMS-Core,ims-node-01,可信,,2026-08-15 03:45:00,2026-08-15 03:50:00,5,716,712,4,99.44,0.56,191,113,438,434,4
IMS-Core,ims-node-02,可信,,2026-08-15 03:45:00,2026-08-15 03:50:00,5,838,834,4,99.52,0.48,218,130,528,521,7
Access-GW,access-node-01,可信,,2026-08-15 03:45:00,2026-08-15 03:50:00,5,781,776,5,99.36,0.64,212,125,517,514,3
Access-GW,access-node-02,可信,,2026-08-15 03:45:00,2026-08-15 03:50:00,5,781,776,5,99.36,0.64,217,128,538,532,6
SBC,sbc-node-01,可信,,2026-08-15 03:45:00,2026-08-15 03:50:00,5,935,929,6,99.36,0.64,249,150,646,644,2
Media-FW,media-node-01,可信,,2026-08-15 03:45:00,2026-08-15 03:50:00,5,1034,1028,6,99.42,0.58,272,165,724,719,5
IMS-Core,ims-node-01,可信,,2026-08-15 03:50:00,2026-08-15 03:55:00,5,696,692,4,99.43,0.57,196,116,436,431,5
IMS-Core,ims-node-02,可信,,2026-08-15 03:50:00,2026-08-15 03:55:00,5,817,813,4,99.51,0.49,222,134,526,525,1
Access-GW,access-node-01,可信,,2026-08-15 03:50:00,2026-08-15 03:55:00,5,761,756,5,99.34,0.66,217,129,515,511,4
Access-GW,access-node-02,可信,,2026-08-15 03:50:00,2026-08-15 03:55:00,5,763,758,5,99.34,0.66,222,131,537,530,7
SBC,sbc-node-01,可信,,2026-08-15 03:50:00,2026-08-15 03:55:00,5,915,909,6,99.34,0.66,254,153,645,642,3
Media-FW,media-node-01,可信,,2026-08-15 03:50:00,2026-08-15 03:55:00,5,1014,1008,6,99.41,0.59,277,168,722,716,6
IMS-Core,ims-node-01,可信,,2026-08-15 03:55:00,2026-08-15 04:00:00,5,678,674,4,99.41,0.59,201,119,436,430,6
IMS-Core,ims-node-02,可信,,2026-08-15 03:55:00,2026-08-15 04:00:00,5,798,794,4,99.50,0.50,227,137,525,523,2
Access-GW,access-node-01,可信,,2026-08-15 03:55:00,2026-08-15 04:00:00,5,744,740,4,99.46,0.54,222,132,516,511,5
Access-GW,access-node-02,可信,,2026-08-15 03:55:00,2026-08-15 04:00:00,5,746,741,5,99.33,0.67,227,135,538,537,1
SBC,sbc-node-01,可信,,2026-08-15 03:55:00,2026-08-15 04:00:00,5,897,892,5,99.44,0.56,259,157,645,641,4
Media-FW,media-node-01,可信,,2026-08-15 03:55:00,2026-08-15 04:00:00,5,996,991,5,99.50,0.50,282,172,722,715,7
IMS-Core,ims-node-01,可信,,2026-08-15 04:00:00,2026-08-15 04:05:00,5,665,662,3,99.55,0.45,205,123,439,432,7
IMS-Core,ims-node-02,可信,,2026-08-15 04:00:00,2026-08-15 04:05:00,5,785,781,4,99.49,0.51,232,141,528,525,3
Access-GW,access-node-01,可信,,2026-08-15 04:00:00,2026-08-15 04:05:00,5,732,728,4,99.45,0.55,227,136,519,513,6
Access-GW,access-node-02,可信,,2026-08-15 04:00:00,2026-08-15 04:05:00,5,735,731,4,99.46,0.54,232,139,541,539,2
SBC,sbc-node-01,可信,,2026-08-15 04:00:00,2026-08-15 04:05:00,5,885,880,5,99.44,0.56,264,160,648,643,5
Media-FW,media-node-01,可信,,2026-08-15 04:00:00,2026-08-15 04:05:00,5,984,979,5,99.49,0.51,287,175,725,724,1
IMS-Core,ims-node-01,可信,,2026-08-15 04:05:00,2026-08-15 04:10:00,5,662,659,3,99.55,0.45,210,126,377,376,1
IMS-Core,ims-node-02,可信,,2026-08-15 04:05:00,2026-08-15 04:10:00,5,781,777,4,99.49,0.51,237,144,466,462,4
Access-GW,access-node-01,可信,,2026-08-15 04:05:00,2026-08-15 04:10:00,5,729,725,4,99.45,0.55,232,140,457,450,7
Access-GW,access-node-02,可信,,2026-08-15 04:05:00,2026-08-15 04:10:00,5,733,729,4,99.45,0.55,237,142,480,477,3
SBC,sbc-node-01,可信,,2026-08-15 04:05:00,2026-08-15 04:10:00,5,882,877,5,99.43,0.57,269,164,586,580,6
Media-FW,media-node-01,可信,,2026-08-15 04:05:00,2026-08-15 04:10:00,5,980,975,5,99.49,0.51,291,179,663,661,2
IMS-Core,ims-node-01,可信,,2026-08-15 04:10:00,2026-08-15 04:15:00,5,669,666,3,99.55,0.45,215,130,391,389,2
IMS-Core,ims-node-02,可信,,2026-08-15 04:10:00,2026-08-15 04:15:00,5,788,785,3,99.62,0.38,241,147,480,475,5
Access-GW,access-node-01,可信,,2026-08-15 04:10:00,2026-08-15 04:15:00,5,737,733,4,99.46,0.54,237,143,472,471,1
Access-GW,access-node-02,可信,,2026-08-15 04:10:00,2026-08-15 04:15:00,5,742,738,4,99.46,0.54,243,146,495,491,4
SBC,sbc-node-01,可信,,2026-08-15 04:10:00,2026-08-15 04:15:00,5,890,886,4,99.55,0.45,274,167,601,594,7
Media-FW,media-node-01,可信,,2026-08-15 04:10:00,2026-08-15 04:15:00,5,988,983,5,99.49,0.51,296,182,678,675,3
IMS-Core,ims-node-01,可信,,2026-08-15 04:15:00,2026-08-15 04:20:00,5,688,685,3,99.56,0.44,152,133,412,409,3
IMS-Core,ims-node-02,可信,,2026-08-15 04:15:00,2026-08-15 04:20:00,5,806,803,3,99.63,0.37,178,151,500,494,6
Access-GW,access-node-01,可信,,2026-08-15 04:15:00,2026-08-15 04:20:00,5,757,754,3,99.60,0.40,174,147,493,491,2
Access-GW,access-node-02,可信,,2026-08-15 04:15:00,2026-08-15 04:20:00,5,762,758,4,99.48,0.52,180,150,517,512,5
SBC,sbc-node-01,可信,,2026-08-15 04:15:00,2026-08-15 04:20:00,5,909,905,4,99.56,0.44,211,171,622,621,1
Media-FW,media-node-01,可信,,2026-08-15 04:15:00,2026-08-15 04:20:00,5,1007,1003,4,99.60,0.40,233,186,698,694,4
IMS-Core,ims-node-01,可信,,2026-08-15 04:20:00,2026-08-15 04:25:00,5,717,714,3,99.58,0.42,157,98,438,434,4
IMS-Core,ims-node-02,可信,,2026-08-15 04:20:00,2026-08-15 04:25:00,5,835,832,3,99.64,0.36,183,115,526,519,7
Access-GW,access-node-01,可信,,2026-08-15 04:20:00,2026-08-15 04:25:00,5,787,784,3,99.62,0.38,179,112,520,517,3
Access-GW,access-node-02,可信,,2026-08-15 04:20:00,2026-08-15 04:25:00,5,793,789,4,99.50,0.50,185,114,545,539,6
SBC,sbc-node-01,可信,,2026-08-15 04:20:00,2026-08-15 04:25:00,5,940,936,4,99.57,0.43,216,136,649,647,2
Media-FW,media-node-01,可信,,2026-08-15 04:20:00,2026-08-15 04:25:00,5,1037,1033,4,99.61,0.39,238,150,726,721,5
IMS-Core,ims-node-01,可信,,2026-08-15 04:25:00,2026-08-15 04:30:00,5,756,753,3,99.60,0.40,162,102,470,465,5
IMS-Core,ims-node-02,可信,,2026-08-15 04:25:00,2026-08-15 04:30:00,5,872,869,3,99.66,0.34,188,119,558,557,1
Access-GW,access-node-01,可信,,2026-08-15 04:25:00,2026-08-15 04:30:00,5,827,824,3,99.64,0.36,184,115,553,549,4
Access-GW,access-node-02,可信,,2026-08-15 04:25:00,2026-08-15 04:30:00,5,834,830,4,99.52,0.48,190,118,578,571,7
SBC,sbc-node-01,可信,,2026-08-15 04:25:00,2026-08-15 04:30:00,5,979,975,4,99.59,0.41,221,139,682,679,3
Media-FW,media-node-01,可信,,2026-08-15 04:25:00,2026-08-15 04:30:00,5,1075,1071,4,99.63,0.37,243,154,757,751,6
IMS-Core,ims-node-01,可信,,2026-08-15 04:30:00,2026-08-15 04:35:00,5,800,797,3,99.62,0.38,167,105,505,499,6
IMS-Core,ims-node-02,可信,,2026-08-15 04:30:00,2026-08-15 04:35:00,5,916,912,4,99.56,0.44,193,123,593,591,2
Access-GW,access-node-01,可信,,2026-08-15 04:30:00,2026-08-15 04:35:00,5,872,868,4,99.54,0.46,190,119,589,584,5
Access-GW,access-node-02,可信,,2026-08-15 04:30:00,2026-08-15 04:35:00,5,880,876,4,99.55,0.45,196,122,614,613,1
SBC,sbc-node-01,可信,,2026-08-15 04:30:00,2026-08-15 04:35:00,5,1024,1019,5,99.51,0.49,226,143,717,713,4
Media-FW,media-node-01,可信,,2026-08-15 04:30:00,2026-08-15 04:35:00,5,1120,1115,5,99.55,0.45,249,158,793,786,7
IMS-Core,ims-node-01,可信,,2026-08-15 04:35:00,2026-08-15 04:40:00,5,759,756,3,99.60,0.40,172,109,492,485,7
IMS-Core,ims-node-02,可信,,2026-08-15 04:35:00,2026-08-15 04:40:00,5,875,871,4,99.54,0.46,198,126,579,576,3
Access-GW,access-node-01,可信,,2026-08-15 04:35:00,2026-08-15 04:40:00,5,832,828,4,99.52,0.48,195,123,576,570,6
Access-GW,access-node-02,可信,,2026-08-15 04:35:00,2026-08-15 04:40:00,5,841,837,4,99.52,0.48,201,126,602,600,2
SBC,sbc-node-01,可信,,2026-08-15 04:35:00,2026-08-15 04:40:00,5,984,979,5,99.49,0.51,232,147,704,699,5
Media-FW,media-node-01,可信,,2026-08-15 04:35:00,2026-08-15 04:40:00,5,1080,1075,5,99.54,0.46,254,161,780,779,1
IMS-Core,ims-node-01,可信,,2026-08-15 04:40:00,2026-08-15 04:45:00,5,805,801,4,99.50,0.50,177,113,458,457,1
IMS-Core,ims-node-02,可信,,2026-08-15 04:40:00,2026-08-15 04:45:00,5,920,916,4,99.57,0.43,203,130,545,541,4
Access-GW,access-node-01,可信,,2026-08-15 04:40:00,2026-08-15 04:45:00,5,879,874,5,99.43,0.57,200,126,543,536,7
Access-GW,access-node-02,可信,,2026-08-15 04:40:00,2026-08-15 04:45:00,5,889,884,5,99.44,0.56,207,130,569,566,3
SBC,sbc-node-01,可信,,2026-08-15 04:40:00,2026-08-15 04:45:00,5,1031,1025,6,99.42,0.58,237,151,671,665,6
Media-FW,media-node-01,可信,,2026-08-15 04:40:00,2026-08-15 04:45:00,5,1126,1120,6,99.47,0.53,259,165,746,744,2
IMS-Core,ims-node-01,可信,,2026-08-15 04:45:00,2026-08-15 04:50:00,5,846,842,4,99.53,0.47,182,116,492,490,2
IMS-Core,ims-node-02,可信,,2026-08-15 04:45:00,2026-08-15 04:50:00,5,960,955,5,99.48,0.52,208,133,578,573,5
Access-GW,access-node-01,可信,,2026-08-15 04:45:00,2026-08-15 04:50:00,5,921,916,5,99.46,0.54,205,130,576,575,1
Access-GW,access-node-02,可信,,2026-08-15 04:45:00,2026-08-15 04:50:00,5,932,926,6,99.36,0.64,212,134,604,600,4
SBC,sbc-node-01,可信,,2026-08-15 04:45:00,2026-08-15 04:50:00,5,1072,1066,6,99.44,0.56,242,154,705,698,7
Media-FW,media-node-01,可信,,2026-08-15 04:45:00,2026-08-15 04:50:00,5,1167,1161,6,99.49,0.51,264,169,780,777,3
IMS-Core,ims-node-01,可信,,2026-08-15 04:50:00,2026-08-15 04:55:00,5,878,873,5,99.43,0.57,188,120,520,517,3
IMS-Core,ims-node-02,可信,,2026-08-15 04:50:00,2026-08-15 04:55:00,5,991,986,5,99.50,0.50,213,137,605,599,6
Access-GW,access-node-01,可信,,2026-08-15 04:50:00,2026-08-15 04:55:00,5,954,948,6,99.37,0.63,211,134,605,603,2
Access-GW,access-node-02,可信,,2026-08-15 04:50:00,2026-08-15 04:55:00,5,966,960,6,99.38,0.62,218,138,633,628,5
SBC,sbc-node-01,可信,,2026-08-15 04:50:00,2026-08-15 04:55:00,5,1105,1098,7,99.37,0.63,247,158,733,732,1
Media-FW,media-node-01,可信,,2026-08-15 04:50:00,2026-08-15 04:55:00,5,1200,1193,7,99.42,0.58,269,173,808,804,4
IMS-Core,ims-node-01,可信,,2026-08-15 04:55:00,2026-08-15 05:00:00,5,900,895,5,99.44,0.56,193,124,543,539,4
IMS-Core,ims-node-02,可信,,2026-08-15 04:55:00,2026-08-15 05:00:00,5,1013,1008,5,99.51,0.49,218,141,628,621,7
Access-GW,access-node-01,可信,,2026-08-15 04:55:00,2026-08-15 05:00:00,5,978,972,6,99.39,0.61,216,138,629,626,3
Access-GW,access-node-02,不可信,采样窗口部分回补,2026-08-15 04:55:00,2026-08-15 05:00:00,5,991,985,6,99.39,0.61,223,142,657,651,6
SBC,sbc-node-01,可信,,2026-08-15 04:55:00,2026-08-15 05:00:00,5,1128,1121,7,99.38,0.62,253,162,756,754,2
Media-FW,media-node-01,不可信,采样窗口部分回补,2026-08-15 04:55:00,2026-08-15 05:00:00,5,1222,1215,7,99.43,0.57,274,176,831,826,5
IMS-Core,ims-node-01,可信,,2026-08-15 05:00:00,2026-08-15 05:05:00,5,911,906,5,99.45,0.55,198,128,559,554,5
IMS-Core,ims-node-02,可信,,2026-08-15 05:00:00,2026-08-15 05:05:00,5,1023,1018,5,99.51,0.49,223,144,644,643,1
Access-GW,access-node-01,可信,,2026-08-15 05:00:00,2026-08-15 05:05:00,5,990,984,6,99.39,0.61,222,142,646,642,4
Access-GW,access-node-02,可信,,2026-08-15 05:00:00,2026-08-15 05:05:00,5,1004,997,7,99.30,0.70,229,146,675,668,7
SBC,sbc-node-01,可信,,2026-08-15 05:00:00,2026-08-15 05:05:00,5,1140,1133,7,99.39,0.61,258,166,773,770,3
Media-FW,media-node-01,可信,,2026-08-15 05:00:00,2026-08-15 05:05:00,5,1233,1226,7,99.43,0.57,280,180,847,841,6
IMS-Core,ims-node-01,可信,,2026-08-15 05:05:00,2026-08-15 05:10:00,5,912,907,5,99.45,0.55,203,131,569,563,6
IMS-Core,ims-node-02,可信,,2026-08-15 05:05:00,2026-08-15 05:10:00,5,1022,1017,5,99.51,0.49,228,148,653,651,2
Access-GW,access-node-01,可信,,2026-08-15 05:05:00,2026-08-15 05:10:00,5,991,985,6,99.39,0.61,227,146,656,651,5
Access-GW,access-node-02,可信,,2026-08-15 05:05:00,2026-08-15 05:10:00,5,1006,999,7,99.30,0.70,234,150,686,685,1
SBC,sbc-node-01,可信,,2026-08-15 05:05:00,2026-08-15 05:10:00,5,1141,1134,7,99.39,0.61,264,170,784,780,4
Media-FW,media-node-01,可信,,2026-08-15 05:05:00,2026-08-15 05:10:00,5,1234,1227,7,99.43,0.57,285,184,858,851,7
IMS-Core,ims-node-01,可信,,2026-08-15 05:10:00,2026-08-15 05:15:00,5,903,898,5,99.45,0.55,209,135,574,567,7
IMS-Core,ims-node-02,可信,,2026-08-15 05:10:00,2026-08-15 05:15:00,5,1012,1007,5,99.51,0.49,233,152,657,654,3
Access-GW,access-node-01,可信,,2026-08-15 05:10:00,2026-08-15 05:15:00,5,984,978,6,99.39,0.61,233,150,662,656,6
Access-GW,access-node-02,可信,,2026-08-15 05:10:00,2026-08-15 05:15:00,5,1000,993,7,99.30,0.70,240,154,693,691,2
SBC,sbc-node-01,可信,,2026-08-15 05:10:00,2026-08-15 05:15:00,5,1133,1126,7,99.38,0.62,269,174,789,784,5
Media-FW,media-node-01,可信,,2026-08-15 05:10:00,2026-08-15 05:15:00,5,1226,1219,7,99.43,0.57,290,188,863,862,1
IMS-Core,ims-node-01,可信,,2026-08-15 05:15:00,2026-08-15 05:20:00,5,888,883,5,99.44,0.56,214,139,506,505,1
IMS-Core,ims-node-02,可信,,2026-08-15 05:15:00,2026-08-15 05:20:00,5,997,992,5,99.50,0.50,238,155,589,585,4
Access-GW,access-node-01,可信,,2026-08-15 05:15:00,2026-08-15 05:20:00,5,970,964,6,99.38,0.62,238,154,594,587,7
Access-GW,access-node-02,可信,,2026-08-15 05:15:00,2026-08-15 05:20:00,5,987,981,6,99.39,0.61,246,158,625,622,3
SBC,sbc-node-01,可信,,2026-08-15 05:15:00,2026-08-15 05:20:00,5,1119,1112,7,99.37,0.63,275,178,721,715,6
Media-FW,media-node-01,可信,,2026-08-15 05:15:00,2026-08-15 05:20:00,5,1211,1204,7,99.42,0.58,296,192,795,793,2
IMS-Core,ims-node-01,可信,,2026-08-15 05:20:00,2026-08-15 05:25:00,5,871,866,5,99.43,0.57,219,143,506,504,2
IMS-Core,ims-node-02,可信,,2026-08-15 05:20:00,2026-08-15 05:25:00,5,978,973,5,99.49,0.51,244,159,588,583,5
Access-GW,access-node-01,可信,,2026-08-15 05:20:00,2026-08-15 05:25:00,5,954,948,6,99.37,0.63,244,158,595,594,1
Access-GW,access-node-02,可信,,2026-08-15 05:20:00,2026-08-15 05:25:00,5,972,966,6,99.38,0.62,252,162,627,623,4
SBC,sbc-node-01,可信,,2026-08-15 05:20:00,2026-08-15 05:25:00,5,1103,1096,7,99.37,0.63,280,181,722,715,7
Media-FW,media-node-01,可信,,2026-08-15 05:20:00,2026-08-15 05:25:00,5,1194,1187,7,99.41,0.59,301,196,795,792,3
IMS-Core,ims-node-01,可信,,2026-08-15 05:25:00,2026-08-15 05:30:00,5,855,851,4,99.53,0.47,225,108,507,504,3
IMS-Core,ims-node-02,可信,,2026-08-15 05:25:00,2026-08-15 05:30:00,5,961,956,5,99.48,0.52,249,124,588,582,6
Access-GW,access-node-01,可信,,2026-08-15 05:25:00,2026-08-15 05:30:00,5,939,934,5,99.47,0.53,249,123,597,595,2
Access-GW,access-node-02,可信,,2026-08-15 05:25:00,2026-08-15 05:30:00,5,958,952,6,99.37,0.63,257,127,629,624,5
SBC,sbc-node-01,可信,,2026-08-15 05:25:00,2026-08-15 05:30:00,5,1088,1082,6,99.45,0.55,286,146,724,723,1
Media-FW,media-node-01,可信,,2026-08-15 05:25:00,2026-08-15 05:30:00,5,1178,1172,6,99.49,0.51,307,161,796,792,4
IMS-Core,ims-node-01,可信,,2026-08-15 05:30:00,2026-08-15 05:35:00,5,755,751,4,99.47,0.53,230,112,460,456,4
